dataset_tag,quarter,feature_name,metric_name,metric_value,metric_ci_low,metric_ci_high,reference_window_id,cohort_threshold,sample_size,notes
aoe2companion,2023-Q1,rating,psi,0.1247,,,2022-Q3Q4,10,5260,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q1,rating,cohen_d,0.0887,,,2022-Q3Q4,10,5260,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization."
aoe2companion,2023-Q1,won,cohen_h,0.0,,,2022-Q3Q4,10,3976434,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-03: h vs reference p_ref"
aoe2companion,2023-Q1,faction,psi,0.0094,,,2022-Q3Q4,10,3975882,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 0 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q1,map_id,psi,1.1115,,,2022-Q3Q4,10,3975882,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 170644 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q2,rating,psi,0.0989,,,2022-Q3Q4,10,8302,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q2,rating,cohen_d,0.2189,,,2022-Q3Q4,10,8302,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization."
aoe2companion,2023-Q2,won,cohen_h,0.0,,,2022-Q3Q4,10,3867538,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-03: h vs reference p_ref"
aoe2companion,2023-Q2,faction,psi,0.0696,,,2022-Q3Q4,10,3867000,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 11881 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q2,map_id,psi,1.4496,,,2022-Q3Q4,10,3867000,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 174592 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q3,rating,psi,0.7116,,,2022-Q3Q4,10,1994204,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q3,rating,cohen_d,0.6114,,,2022-Q3Q4,10,1994204,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization."
aoe2companion,2023-Q3,won,cohen_h,0.0,,,2022-Q3Q4,10,3704278,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-03: h vs reference p_ref"
aoe2companion,2023-Q3,faction,psi,0.2521,,,2022-Q3Q4,10,3703836,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 76375 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q3,map_id,psi,2.2904,,,2022-Q3Q4,10,3703836,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 278364 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q4,rating,psi,0.6963,,,2022-Q3Q4,10,3876862,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q4,rating,cohen_d,0.5948,,,2022-Q3Q4,10,3876862,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization."
aoe2companion,2023-Q4,won,cohen_h,0.0,,,2022-Q3Q4,10,3877280,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-03: h vs reference p_ref"
aoe2companion,2023-Q4,faction,psi,0.4505,,,2022-Q3Q4,10,3876862,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 140654 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q4,map_id,psi,2.6675,,,2022-Q3Q4,10,3876862,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 360580 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q1,rating,psi,0.707,,,2022-Q3Q4,10,4110780,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q1,rating,cohen_d,0.5929,,,2022-Q3Q4,10,4110780,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization."
aoe2companion,2024-Q1,won,cohen_h,0.0,,,2022-Q3Q4,10,4111394,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-03: h vs reference p_ref"
aoe2companion,2024-Q1,faction,psi,0.3946,,,2022-Q3Q4,10,4110792,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 130211 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q1,map_id,psi,2.1987,,,2022-Q3Q4,10,4110792,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 296756 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q2,rating,psi,0.6762,,,2022-Q3Q4,10,4118454,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q2,rating,cohen_d,0.5696,,,2022-Q3Q4,10,4118454,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization."
aoe2companion,2024-Q2,won,cohen_h,0.0,,,2022-Q3Q4,10,4119216,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-03: h vs reference p_ref"
aoe2companion,2024-Q2,faction,psi,0.4337,,,2022-Q3Q4,10,4118454,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 142933 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q2,map_id,psi,1.9066,,,2022-Q3Q4,10,4118454,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 252846 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q3,rating,psi,0.7568,,,2022-Q3Q4,10,4031328,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q3,rating,cohen_d,0.5723,,,2022-Q3Q4,10,4031328,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization."
aoe2companion,2024-Q3,won,cohen_h,0.0,,,2022-Q3Q4,10,4031764,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-03: h vs reference p_ref"
aoe2companion,2024-Q3,faction,psi,0.4504,,,2022-Q3Q4,10,4031338,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 144574 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q3,map_id,psi,2.2151,,,2022-Q3Q4,10,4031338,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 325864 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q4,rating,psi,0.8778,,,2022-Q3Q4,10,4119966,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-04: Yurdakul 2018 WMU #3208 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q4,rating,cohen_d,0.5834,,,2022-Q3Q4,10,4119966,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization."
aoe2companion,2024-Q4,won,cohen_h,0.0,,,2022-Q3Q4,10,4120404,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; M-03: h vs reference p_ref"
aoe2companion,2024-Q4,faction,psi,0.4824,,,2022-Q3Q4,10,4119966,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 157693 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2024-Q4,map_id,psi,3.0429,,,2022-Q3Q4,10,4119966,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; __unseen__: 425874 rows; M-04: Yurdakul 2018 thresholds not calibrated at N>10^6"
aoe2companion,2023-Q1,faction,psi,0.0099,,,2022-Q3Q4,10,3557860,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=6"
aoe2companion,2023-Q1,faction,psi,0.0086,,,2022-Q3Q4,10,418022,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=18"
aoe2companion,2023-Q2,faction,psi,0.0579,,,2022-Q3Q4,10,3454826,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=6"
aoe2companion,2023-Q2,faction,psi,0.1924,,,2022-Q3Q4,10,412174,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=18"
aoe2companion,2023-Q3,faction,psi,0.2602,,,2022-Q3Q4,10,3266196,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=6"
aoe2companion,2023-Q3,faction,psi,0.1974,,,2022-Q3Q4,10,437640,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=18"
aoe2companion,2023-Q4,faction,psi,0.4537,,,2022-Q3Q4,10,3410326,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=6"
aoe2companion,2023-Q4,faction,psi,0.4328,,,2022-Q3Q4,10,466536,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=18"
aoe2companion,2024-Q1,faction,psi,0.3992,,,2022-Q3Q4,10,3612696,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=6"
aoe2companion,2024-Q1,faction,psi,0.3678,,,2022-Q3Q4,10,498096,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=18"
aoe2companion,2024-Q2,faction,psi,0.4436,,,2022-Q3Q4,10,3700302,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=6"
aoe2companion,2024-Q2,faction,psi,0.3595,,,2022-Q3Q4,10,418152,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=18"
aoe2companion,2024-Q3,faction,psi,0.4623,,,2022-Q3Q4,10,3584016,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=6"
aoe2companion,2024-Q3,faction,psi,0.3683,,,2022-Q3Q4,10,447322,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=18"
aoe2companion,2024-Q4,faction,psi,0.4975,,,2022-Q3Q4,10,3637446,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=6"
aoe2companion,2024-Q4,faction,psi,0.3854,,,2022-Q3Q4,10,482520,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-02: feature_name matches VIEW schema (faction, map_id, rating, won). Cross-dataset alignment is on metric_name only per critique pre-authorization.; [WITHIN-AOEC-SECONDARY; NOT CROSS-DATASET]; lb=18"
aoe2companion,all,won,icc_anova_observed_scale,0.003,0.0017,0.0042,2022-Q3Q4,10,5000,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; v1.0.4 §14(b) PRIMARY cross-dataset headline; Wu/Crespi/Wong 2012 ANOVA observed-scale"
aoe2companion,all,won,icc_lpm_observed_scale,0.0005,,,2022-Q3Q4,10,5000,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; B-01 diagnostic; LPM observed-scale (REML lbfgs random-intercept; Chung 2013 boundary-shrinkage caveat)"
aoe2companion,2023-Q1,faction,psi,0.0106,,,2022-Q3Q4,5,2940367,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=5"
aoe2companion,2023-Q2,faction,psi,0.0961,,,2022-Q3Q4,5,2409992,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=5"
aoe2companion,2023-Q3,faction,psi,0.4544,,,2022-Q3Q4,5,2124952,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=5"
aoe2companion,2023-Q4,faction,psi,0.8395,,,2022-Q3Q4,5,2083082,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=5"
aoe2companion,2024-Q1,faction,psi,0.7013,,,2022-Q3Q4,5,1989901,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=5"
aoe2companion,2024-Q2,faction,psi,0.7744,,,2022-Q3Q4,5,1835477,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=5"
aoe2companion,2024-Q3,faction,psi,0.8084,,,2022-Q3Q4,5,1721562,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=5"
aoe2companion,2024-Q4,faction,psi,0.8656,,,2022-Q3Q4,5,1709394,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=5"
aoe2companion,2023-Q1,faction,psi,0.0106,,,2022-Q3Q4,20,2594474,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=20"
aoe2companion,2023-Q2,faction,psi,0.095,,,2022-Q3Q4,20,2096864,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=20"
aoe2companion,2023-Q3,faction,psi,0.4474,,,2022-Q3Q4,20,1848855,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=20"
aoe2companion,2023-Q4,faction,psi,0.8328,,,2022-Q3Q4,20,1811087,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=20"
aoe2companion,2024-Q1,faction,psi,0.6987,,,2022-Q3Q4,20,1717514,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=20"
aoe2companion,2024-Q2,faction,psi,0.7775,,,2022-Q3Q4,20,1578753,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=20"
aoe2companion,2024-Q3,faction,psi,0.8109,,,2022-Q3Q4,20,1474008,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=20"
aoe2companion,2024-Q4,faction,psi,0.8649,,,2022-Q3Q4,20,1466663,"[POP:ranked_ladder] aoec is online-ladder dataset; findings condition on ranked-ladder participation, not overall AoE2 population.; survivorship sensitivity N=20"
